N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Tipo de factura,Año,Mes,Día,Hora,Día de la semana,NumeroOrden
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123,229.33,F,2021,3,30,16,martes,4643
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163,209.73,F,2021,11,11,11,jueves,16005
C570727,2021-10-12 11:32:00,12471.0,Germany,-1,-1.45,ND,2021,10,12,11,martes,21429
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1,39.95,F,2021,4,6,12,martes,4909
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357,344.83,F,2021,10,27,15,miércoles,14844
576630,2021-11-16 08:38:00,13816.0,Germany,91,199.98,F,2021,11,16,8,martes,16367
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16,30.0,F,2020,12,9,15,miércoles,760
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64,77.28,F,2021,2,18,10,jueves,3017
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10,67.5,F,2021,3,11,11,jueves,3823
570651,2021-10-11 13:34:00,14911.0,EIRE,86,321.35,F,2021,10,11,13,lunes,13815
C543628,2021-02-10 15:51:00,16558.0,United Kingdom,-5,-9.25,ND,2021,2,10,15,miércoles,19151
575581,2021-11-10 11:53:00,12659.0,France,105,91.68,F,2021,11,10,11,miércoles,15883
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96,720.0,F,2021,12,6,16,lunes,18271
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139,530.15,F,2021,2,11,14,jueves,2775
C553508,2021-05-17 13:44:00,14000.0,United Kingdom,-3,-1.95,ND,2021,5,17,13,lunes,19963
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1,2.95,F,2021,8,14,15,sábado,10692
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222,576.0,F,2021,3,2,13,martes,3465
C577693,2021-11-21 11:48:00,12628.0,Germany,-3,-16.85,ND,2021,11,21,11,domingo,21927
C547309,2021-03-22 11:17:00,17416.0,United Kingdom,-12,-45.0,ND,2021,3,22,11,lunes,19506
C555404,2021-06-02 18:28:00,17231.0,United Kingdom,-2,-19.9,ND,2021,6,2,18,miércoles,20171
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164,311.6,F,2021,11,15,13,lunes,16323
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78,132.9,F,2021,4,19,13,lunes,5527
576083,2021-11-14 08:22:00,17404.0,Sweden,1060,1238.48,F,2021,11,14,8,domingo,16159
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160,249.74,F,2021,10,12,11,martes,13874
537026,2020-12-03 16:35:00,12395.0,Belgium,528,346.1,F,2020,12,3,16,jueves,310
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72,140.04,F,2021,5,11,14,martes,6402
C579925,2021-12-01 09:16:00,15544.0,United Kingdom,-3,-2.55,ND,2021,12,1,9,miércoles,22073
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72,155.6,F,2021,4,19,11,lunes,5509
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144,152.64,F,2021,6,1,12,martes,7428
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72,193.62,F,2021,4,13,9,martes,5215
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19,71.25,F,2021,11,9,9,martes,15757
C549986,2021-04-13 16:03:00,18178.0,United Kingdom,-2,-7.5,ND,2021,4,13,16,martes,19707
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465,493.76,F,2021,9,29,18,miércoles,13097
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323,656.23,F,2021,9,12,9,domingo,11988
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364,1048.64,F,2020,12,15,16,martes,1099
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5,41.25,F,2021,12,1,13,miércoles,17824
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154,339.29,F,2021,1,31,16,domingo,2385
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72,128.88,F,2021,11,10,11,miércoles,15878
C562884,2021-08-10 11:25:00,14056.0,United Kingdom,-3,-9.75,ND,2021,8,10,11,martes,20783
C560842,2021-07-21 12:25:00,14527.0,United Kingdom,-1,-12.15,ND,2021,7,21,12,miércoles,20613
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467,835.95,F,2021,9,6,10,lunes,11685
C562514,2021-08-05 12:20:00,13408.0,United Kingdom,-1,-11.95,ND,2021,8,5,12,jueves,20741
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108,304.42,F,2021,8,3,14,martes,10261
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172,800.76,F,2021,8,1,13,domingo,10162
C561210,2021-07-25 16:58:00,17841.0,United Kingdom,-10,-12.5,ND,2021,7,25,16,domingo,20649
C545502,2021-03-03 11:33:00,15078.0,United Kingdom,-10,-19.5,ND,2021,3,3,11,miércoles,19326
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40,226.8,F,2020,12,9,12,miércoles,715
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58,111.11,F,2021,11,28,10,domingo,17441
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56,160.8,F,2021,7,20,13,martes,9627
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200,437.43,F,2021,10,13,15,miércoles,13988
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62,143.11,F,2021,11,8,11,lunes,15657
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129,380.31,F,2021,10,10,9,domingo,13688
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172,331.76,F,2021,1,20,12,miércoles,1985
C560687,2021-07-20 11:51:00,14606.0,United Kingdom,-28,-23.37,ND,2021,7,20,11,martes,20607
C569891,2021-10-06 15:46:00,13924.0,United Kingdom,-19,-65.09,ND,2021,10,6,15,miércoles,21319
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262,305.02,F,2021,5,9,12,domingo,6244
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286,413.58,F,2021,9,8,13,miércoles,11823
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342,349.2,F,2021,11,17,10,miércoles,16504
572272,2021-10-21 16:18:00,13171.0,United Kingdom,60,132.54,F,2021,10,21,16,jueves,14492
577783,2021-11-21 16:20:00,18139.0,United Kingdom,1644,2786.4,F,2021,11,21,16,domingo,16905
578757,2021-11-25 11:41:00,12748.0,United Kingdom,256,420.41,F,2021,11,25,11,jueves,17318
C553557,2021-05-17 17:03:00,13266.0,United Kingdom,-2,-3.2,ND,2021,5,17,17,lunes,19977
542351,2021-01-27 12:13:00,14560.0,United Kingdom,39,152.25,F,2021,1,27,12,miércoles,2235
C578090,2021-11-22 17:03:00,12483.0,Sweden,-2,-80.0,ND,2021,11,22,17,lunes,21956
559164,2021-07-06 16:39:00,16422.0,United Kingdom,406,587.46,F,2021,7,6,16,martes,9032
578150,2021-11-23 11:18:00,16020.0,United Kingdom,10,16.5,F,2021,11,23,11,martes,17086
558770,2021-07-03 15:19:00,12748.0,United Kingdom,60,115.55,F,2021,7,3,15,sábado,8867
C569552,2021-10-04 17:44:00,14533.0,United Kingdom,-1200,-84.0,ND,2021,10,4,17,lunes,21306
C550646,2021-04-19 16:32:00,16873.0,United Kingdom,-6,-14.4,ND,2021,4,19,16,lunes,19769
C571329,2021-10-17 11:32:00,17706.0,United Kingdom,-13,-50.8,ND,2021,10,17,11,domingo,21469
