N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Tipo de factura,Año,Mes,Día,Hora,Día de la semana
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123,229.33,F,2021,3,30,16,martes
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163,209.73,F,2021,11,11,11,jueves
C570727,2021-10-12 11:32:00,12471.0,Germany,-1,-1.45,ND,2021,10,12,11,martes
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1,39.95,F,2021,4,6,12,martes
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357,344.83,F,2021,10,27,15,miércoles
576630,2021-11-16 08:38:00,13816.0,Germany,91,199.98,F,2021,11,16,8,martes
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16,30.0,F,2020,12,9,15,miércoles
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64,77.28,F,2021,2,18,10,jueves
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10,67.5,F,2021,3,11,11,jueves
570651,2021-10-11 13:34:00,14911.0,EIRE,86,321.35,F,2021,10,11,13,lunes
C543628,2021-02-10 15:51:00,16558.0,United Kingdom,-5,-9.25,ND,2021,2,10,15,miércoles
539736,2020-12-21 15:18:00,,United Kingdom,143,1172.46,F,2020,12,21,15,lunes
537823,2020-12-08 14:25:00,,United Kingdom,1484,6073.71,F,2020,12,8,14,martes
575581,2021-11-10 11:53:00,12659.0,France,105,91.68,F,2021,11,10,11,miércoles
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96,720.0,F,2021,12,6,16,lunes
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139,530.15,F,2021,2,11,14,jueves
542418,2021-01-27 17:39:00,,United Kingdom,-17,0.0,F,2021,1,27,17,miércoles
C553508,2021-05-17 13:44:00,14000.0,United Kingdom,-3,-1.95,ND,2021,5,17,13,lunes
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1,2.95,F,2021,8,14,15,sábado
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222,576.0,F,2021,3,2,13,martes
C577693,2021-11-21 11:48:00,12628.0,Germany,-3,-16.85,ND,2021,11,21,11,domingo
550759,2021-04-20 12:09:00,,United Kingdom,-7,0.0,F,2021,4,20,12,martes
C547309,2021-03-22 11:17:00,17416.0,United Kingdom,-12,-45.0,ND,2021,3,22,11,lunes
556427,2021-06-10 13:23:00,,United Kingdom,92,435.69,F,2021,6,10,13,jueves
C555404,2021-06-02 18:28:00,17231.0,United Kingdom,-2,-19.9,ND,2021,6,2,18,miércoles
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164,311.6,F,2021,11,15,13,lunes
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78,132.9,F,2021,4,19,13,lunes
576083,2021-11-14 08:22:00,17404.0,Sweden,1060,1238.48,F,2021,11,14,8,domingo
562417,2021-08-04 16:32:00,,United Kingdom,526,1691.38,F,2021,8,4,16,miércoles
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160,249.74,F,2021,10,12,11,martes
537026,2020-12-03 16:35:00,12395.0,Belgium,528,346.1,F,2020,12,3,16,jueves
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72,140.04,F,2021,5,11,14,martes
C579925,2021-12-01 09:16:00,15544.0,United Kingdom,-3,-2.55,ND,2021,12,1,9,miércoles
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72,155.6,F,2021,4,19,11,lunes
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144,152.64,F,2021,6,1,12,martes
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72,193.62,F,2021,4,13,9,martes
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19,71.25,F,2021,11,9,9,martes
C549986,2021-04-13 16:03:00,18178.0,United Kingdom,-2,-7.5,ND,2021,4,13,16,martes
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465,493.76,F,2021,9,29,18,miércoles
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323,656.23,F,2021,9,12,9,domingo
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364,1048.64,F,2020,12,15,16,martes
549684,2021-04-11 13:24:00,,United Kingdom,1,30.0,F,2021,4,11,13,domingo
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5,41.25,F,2021,12,1,13,miércoles
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154,339.29,F,2021,1,31,16,domingo
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72,128.88,F,2021,11,10,11,miércoles
C562884,2021-08-10 11:25:00,14056.0,United Kingdom,-3,-9.75,ND,2021,8,10,11,martes
C560842,2021-07-21 12:25:00,14527.0,United Kingdom,-1,-12.15,ND,2021,7,21,12,miércoles
542936,2021-02-02 11:10:00,,United Kingdom,144,161.56,F,2021,2,2,11,martes
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467,835.95,F,2021,9,6,10,lunes
C562514,2021-08-05 12:20:00,13408.0,United Kingdom,-1,-11.95,ND,2021,8,5,12,jueves
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108,304.42,F,2021,8,3,14,martes
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172,800.76,F,2021,8,1,13,domingo
